"dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
"2011-01-01","winter",0,"January","No","Saturday","No","Moderate",8.175849,7.99925,0.805833,10.749882,331,654,985
"2011-01-02","winter",0,"January","No","Sunday","No","Moderate",9.083466,7.346774,0.696087,16.652113,131,670,801
"2011-01-03","winter",0,"January","No","Monday","Yes","Good",1.229108,-3.49927,0.437273,16.636703,120,1229,1349
"2011-01-04","winter",0,"January","No","Tuesday","Yes","Good",1.4,-1.999948,0.590435,10.739832,108,1454,1562
"2011-01-05","winter",0,"January","No","Wednesday","Yes","Good",2.666979,-0.868180000000001,0.436957,12.5223,82,1518,1600
"2011-01-06","winter",0,"January","No","Thursday","Yes","Good",1.604356,-0.608205999999999,0.518261,6.0008684,88,1518,1606
"2011-01-07","winter",0,"January","No","Friday","Yes","Moderate",1.236534,-2.216626,0.498696,11.304642,148,1362,1510
"2011-01-08","winter",0,"January","No","Saturday","No","Moderate",-0.244999999999999,-5.291236,0.535833,17.875868,68,891,959
"2011-01-09","winter",0,"January","No","Sunday","No","Good",-1.498349,-8.33245,0.434167,24.25065,54,768,822
"2011-01-10","winter",0,"January","No","Monday","Yes","Good",-0.910849000000001,-6.041392,0.482917,14.958889,41,1280,1321
"2011-01-11","winter",0,"January","No","Tuesday","Yes","Moderate",-0.0527230000000003,-3.363376,0.686364,8.182844,43,1220,1263
"2011-01-12","winter",0,"January","No","Wednesday","Yes","Good",0.118169,-5.408782,0.599545,20.410009,25,1137,1162
"2011-01-13","winter",0,"January","No","Thursday","Yes","Good",-0.244999999999999,-6.041722,0.470417,20.167,38,1368,1406
"2011-01-14","winter",0,"January","No","Friday","Yes","Good",-0.439109999999999,-3.564742,0.537826,8.478716,54,1367,1421
"2011-01-15","winter",0,"January","No","Saturday","No","Moderate",2.966651,0.375392000000002,0.49875,10.583521,222,1026,1248
"2011-01-16","winter",0,"January","No","Sunday","No","Good",2.888349,-0.541677999999999,0.48375,12.625011,251,953,1204
"2011-01-17","winter",0,"January","Yes","Monday","No","Moderate",0.264151,-4.333114,0.5375,12.999139,117,883,1000
"2011-01-18","winter",0,"January","No","Tuesday","Yes","Moderate",2.183349,-0.666022,0.861667,9.833925,9,674,683
"2011-01-19","winter",0,"January","No","Wednesday","Yes","Moderate",5.732178,3.695852,0.741739,13.957239,78,1572,1650
"2011-01-20","winter",0,"January","No","Thursday","Yes","Moderate",4.298349,0.833300000000001,0.538333,13.125568,83,1844,1927
"2011-01-21","winter",0,"January","No","Friday","Yes","Good",0.342499999999999,-5.583022,0.457083,23.667214,75,1468,1543
"2011-01-22","winter",0,"January","No","Saturday","No","Good",-5.2208712,-10.7814064,0.4,11.52199,93,888,981
"2011-01-23","winter",0,"January","No","Sunday","No","Good",-3.4634801,-9.4766194,0.436522,16.5222,150,836,986
"2011-01-24","winter",0,"January","No","Monday","Yes","Good",-3.4226089,-8.21662,0.491739,10.60811,86,1330,1416
"2011-01-25","winter",0,"January","No","Tuesday","Yes","Moderate",2.503466,-0.521284,0.616957,8.696332,186,1799,1985
"2011-01-26","winter",0,"January","No","Wednesday","Yes","Bad",2.2225,-2.5624,0.8625,19.68795,34,472,506
"2011-01-27","winter",0,"January","No","Thursday","Yes","Good",1.165,-1.4998,0.6875,7.627079,15,416,431
"2011-01-28","winter",0,"January","No","Friday","Yes","Moderate",1.563466,-1.261078,0.793043,8.2611,38,1129,1167
"2011-01-29","winter",0,"January","No","Saturday","No","Good",1.236534,-1.999684,0.651739,9.739455,123,975,1098
"2011-01-30","winter",0,"January","No","Sunday","No","Good",2.176534,0.521252,0.722174,4.9568342,140,956,1096
"2011-01-31","winter",0,"January","No","Monday","Yes","Moderate",0.499150999999999,-3.7075,0.60375,12.541864,42,1459,1501
"2011-02-01","winter",0,"February","No","Tuesday","Yes","Moderate",1.032178,-0.52102,0.829565,3.565271,47,1313,1360
"2011-02-02","winter",0,"February","No","Wednesday","Yes","Moderate",4.22,0.791522,0.775417,17.708636,72,1454,1526
"2011-02-03","winter",0,"February","No","Thursday","Yes","Good",0.786979,-4.260052,0.437826,18.609384,61,1489,1550
"2011-02-04","winter",0,"February","No","Friday","Yes","Moderate",1.931288,-0.913257999999999,0.585217,8.565213,88,1620,1708
"2011-02-05","winter",0,"February","No","Saturday","No","Moderate",2.966651,0.0418279999999989,0.929167,10.792293,100,905,1005
"2011-02-06","winter",0,"February","No","Sunday","No","Good",5.434151,3.250286,0.568333,9.5006,354,1269,1623
"2011-02-07","winter",0,"February","No","Monday","Yes","Good",4.768349,4.041428,0.738333,3.0423561,120,1592,1712
"2011-02-08","winter",0,"February","No","Tuesday","Yes","Good",2.379151,-2.915764,0.537917,24.25065,64,1466,1530
"2011-02-09","winter",0,"February","No","Wednesday","Yes","Moderate",-1.665199,-6.477322,0.494783,12.652213,53,1552,1605
"2011-02-10","winter",0,"February","No","Thursday","Yes","Good",-1.215644,-6.129832,0.437391,14.869645,47,1491,1538
"2011-02-11","winter",0,"February","No","Friday","Yes","Good",0.887277000000001,-1.908406,0.506364,7.27285,149,1597,1746
"2011-02-12","winter",0,"February","No","Saturday","No","Good",2.4575,-0.625036,0.544167,13.625589,288,1184,1472
"2011-02-13","winter",0,"February","No","Sunday","No","Good",6.876534,5.391458,0.457391,17.479161,397,1192,1589
"2011-02-14","winter",0,"February","No","Monday","Yes","Good",11.505,10.2911,0.375833,27.999836,208,1705,1913
"2011-02-15","winter",0,"February","No","Tuesday","Yes","Good",4.506089,0.782084000000001,0.314348,19.522058,140,1675,1815
"2011-02-16","winter",0,"February","No","Wednesday","Yes","Good",6.958267,4.8692,0.423478,16.869997,218,1897,2115
"2011-02-17","winter",0,"February","No","Thursday","Yes","Good",12.484151,12.291428,0.505,15.416968,259,2216,2475
"2011-02-18","winter",0,"February","No","Friday","Yes","Good",16.518349,17.790878,0.516667,17.749975,579,2348,2927
"2011-02-19","winter",0,"February","No","Saturday","No","Good",10.760849,9.832664,0.187917,34.000021,532,1103,1635
"2011-02-20","winter",0,"February","No","Sunday","No","Good",5.405199,2.30378,0.407826,14.956745,639,1173,1812
"2011-02-21","winter",0,"February","Yes","Monday","No","Moderate",6.256651,2.74895,0.605,20.625682,195,912,1107
"2011-02-22","winter",0,"February","No","Tuesday","Yes","Good",0.564434,-3.721822,0.577778,13.110761,74,1376,1450
"2011-02-23","winter",0,"February","No","Wednesday","Yes","Good",2.421733,0.217321999999999,0.423043,6.305571,139,1778,1917
"2011-02-24","winter",0,"February","No","Thursday","Yes","Moderate",5.895644,3.086606,0.697391,16.783232,100,1707,1807
"2011-02-25","winter",0,"February","No","Friday","Yes","Moderate",9.124356,7.130426,0.712174,23.218113,120,1341,1461
"2011-02-26","winter",0,"February","No","Saturday","No","Good",5.2775,2.624672,0.537917,12.500257,424,1545,1969
"2011-02-27","winter",0,"February","No","Sunday","No","Good",8.143466,7.173194,0.68,8.391616,694,1708,2402
"2011-02-28","winter",0,"February","No","Monday","Yes","Moderate",11.141831,10.407788,0.876364,19.408962,81,1365,1446
"2011-03-01","winter",0,"March","No","Tuesday","Yes","Good",4.533349,1.416014,0.535,14.500475,137,1714,1851
"2011-03-02","winter",0,"March","No","Wednesday","Yes","Good",7.745,5.124686,0.449583,20.624811,231,1903,2134
"2011-03-03","winter",0,"March","No","Thursday","Yes","Good",1.321651,-2.791222,0.318333,15.125518,123,1562,1685
"2011-03-04","winter",0,"March","No","Friday","Yes","Moderate",4.298349,0.874814000000001,0.610417,13.624182,214,1730,1944
"2011-03-05","winter",0,"March","No","Saturday","No","Moderate",10.055849,8.999414,0.789167,16.875357,640,1437,2077
"2011-03-06","winter",0,"March","No","Sunday","No","Moderate",9.696534,8.172632,0.948261,23.000229,114,491,605
"2011-03-07","winter",0,"March","No","Monday","Yes","Good",4.301733,-0.261574,0.551304,22.870584,244,1628,1872
"2011-03-08","winter",0,"March","No","Tuesday","Yes","Good",5.7475,3.9584,0.420833,8.08355,316,1817,2133
"2011-03-09","winter",0,"March","No","Wednesday","Yes","Moderate",5.904151,2.916128,0.775417,14.75005,191,1700,1891
"2011-03-10","winter",0,"March","No","Thursday","Yes","Bad",10.287277,9.454088,0,17.545759,46,577,623
"2011-03-11","winter",0,"March","No","Friday","Yes","Moderate",6.876534,4.13,0.649565,15.60899,247,1730,1977
"2011-03-12","winter",0,"March","No","Saturday","No","Good",7.470849,5.4995,0.594583,14.791925,724,1408,2132
"2011-03-13","winter",0,"March","No","Sunday","No","Good",10.064356,9.086006,0.527391,18.130468,982,1435,2417
"2011-03-14","winter",0,"March","No","Monday","Yes","Good",7.285199,5.912,0.496957,9.174042,359,1687,2046
"2011-03-15","winter",0,"March","No","Tuesday","Yes","Moderate",6.917377,4.999748,0.655652,12.348703,289,1767,2056
"2011-03-16","winter",0,"March","No","Wednesday","Yes","Moderate",9.165199,8.21738,0.776522,13.608839,321,1871,2192
